grantid,pid,BUDGET_START
198,203335,7/1/1985
206,667140,7/1/1985
206,718220,7/1/1985
385,430595,1/1/1985
385,432534,1/1/1985
385,433934,1/1/1985
385,438300,1/1/1985
385,490119,1/1/1985
407,184829,7/1/1985
471,706407,7/1/1985
475,184236,7/1/1985
536,667140,7/1/1985
536,718220,7/1/1985
571,478037,7/1/1985
839,440344,9/1/1985
932,184262,7/1/1985
1084,425839,10/1/1985
1199,727479,7/1/1985
1285,539168,9/1/1985
1315,706407,9/1/1985
1377,667140,10/1/1985
1377,718220,10/1/1985
1542,427484,9/1/1985
1624,178728,8/1/1985
1672,431925,9/3/1985
1842,810462,1/13/1985
2066,182266,12/1/1984
2228,182357,7/1/1985
2764,426489,1/1/1985
3231,735570,5/15/1985
3477,706351,11/1/1985
3618,180203,5/1/1985
3741,519945,3/15/1985
3914,456796,9/17/1985
4082,411734,6/3/1985
4086,835050,9/17/1984
4087,835050,9/17/1984
4088,835050,9/17/1984
4089,835050,9/17/1984
4090,835050,9/17/1984
4099,851802,10/1/1985
4117,667140,12/1/1985
4117,718220,12/1/1985
4209,667140,6/1/1985
4209,718220,6/1/1985
4361,168025,9/30/1985
4485,444284,1/1/1985
4609,739124,7/1/1985
4646,430893,7/1/1985
4718,115512,5/1/1985
4882,417655,7/1/1985
4961,460483,7/1/1985
5080,670136,9/1/1985
5319,178718,12/1/1984
5353,178970,1/1/1985
5383,420656,4/1/1985
9201,503304,12/1/1984
9202,503304,12/1/1984
11556,519945,11/20/1984
11790,440235,6/18/1985
11807,184231,9/30/1985
11918,183352,5/1/1985
11918,183444,5/1/1985
11941,431965,4/12/1985
12026,463220,7/31/1985
12069,478037,6/27/1985
12492,530195,3/30/1985
12992,415784,8/14/1985
13017,95365,6/11/1985
13017,739127,6/11/1985
13018,95365,6/14/1985
13018,739127,6/14/1985
13248,463031,3/1/1985
13273,463031,7/15/1985
13317,835050,4/27/1985
15846,116262,9/1/1985
15946,189298,4/1/1985
16215,184240,5/1/1985
16553,182427,6/1/1985
18429,191773,4/1/1984
18429,736547,4/1/1984
18953,191773,7/1/1985
18953,736547,7/1/1985
19088,543047,8/1/1985
19218,421026,7/1/1985
19219,421026,12/1/1984
19336,417166,12/1/1984
19370,412802,9/30/1985
19859,857304,9/27/1985
21231,621904,1/1/1985
21431,183341,12/17/1984
21630,184240,6/1/1985
21649,230105,9/1/1985
21649,421898,9/1/1985
21649,434572,9/1/1985
21649,735027,9/1/1985
21649,887745,9/1/1985
21947,739124,12/1/1984
22038,881275,9/1/1985
22218,189298,9/1/1985
22469,739124,9/1/1985
22504,421026,12/1/1984
22644,189298,9/1/1985
22770,431984,7/1/1985
22820,439615,1/1/1985
22852,881275,12/1/1984
23153,188270,8/1/1985
23220,178767,3/1/1985
23335,188270,4/1/1985
23578,430606,12/1/1984
23670,442309,7/1/1985
23791,706399,4/1/1985
23893,230105,9/1/1985
23893,421898,9/1/1985
23893,434572,9/1/1985
23893,735027,9/1/1985
23893,887745,9/1/1985
23911,180206,12/1/1984
24035,463790,4/1/1985
24066,430357,8/1/1985
24141,851802,12/1/1984
