locid,location,city,state,country
3,Eidgenössische Technische Hochschule Zürich,Zürich,ZH,Switzerland
12,Arizona State University,Tempe,AZ,United States
18,Bar-Ilan University,Jerusalem,Jerusalem District,Israel
27,Boston University,Boston,MA,United States
29,Brandeis University,Waltham,MA,United States
36,Carleton University,Ottawa,,Canada
40,Case Western Reserve University,Cleveland Heights,OH,United States
44,City University of New York,New York,NY,United States
45,CNRS,Paris,Île-de-France,France
56,Cornell University,Ithaca,NY,United States
57,Dalhousie University,Halifax,Nova Scotia,Canada
70,Florida Atlantic University,Boca Raton,FL,United States
71,Florida State University,Tallahassee,FL,United States
79,Georgia State University,Atlanta,GA,United States
86,Harvard University,Cambridge,MA,United States
88,"Hebrew University, Jerusalem",Jerusalem,,Israel
125,Keio University,Minato-ku,Tōkyō-to,Japan
126,Kent State University,Kent,OH,United States
143,Loyola University Chicago,Chicago,IL,United States
160,McGill University,Montreal,QC,Canada
161,McMaster University,Hamilton,ON,Canada
170,Microsoft,Hyderabad,Telangana,India
172,Massachusetts Institute of Technology,Cambridge,MA,United States
174,Monash University,Caulfield East,Victoria,Australia
193,National Taiwan University,Taipei,Taipei City,Taiwan
194,National University of Ireland,Dublin,County Dublin,Ireland
220,NTT,Kitakyūshū-shi,Fukuoka-ken,Japan
221,New York University,New York,NY,United States
227,Osaka University,Toyonaka-shi,Ōsaka-fu,Japan
228,University of Oxford,Oxford,,United Kingdom
231,Peking University,Beijing,Beijing Shi,China
232,Pennsylvania State University,State College,PA,United States
242,Radboud University Nijmegen,Nijmegen,Gelderland,Netherlands
256,"Rutgers University, New Brunswick",New Brunswick,NJ,United States
259,San Jose State University,San Jose,CA,United States
260,Santa Clara University,Santa Clara,CA,United States
266,Seoul National University,Seoul,,South Korea
269,Simon Fraser University,Burnaby,British Columbia,Canada
281,Stockholm University,Stockholm,Stockholms län,Sweden
285,"State University of New York, Buffalo",Buffalo,NY,United States
287,Stony Brook University,Stony Brook,NY,United States
292,Syracuse University,Syracuse,NY,United States
293,Tamagawa University,Setagaya-ku,Tōkyō-to,Japan
295,Technion - Israel Institute of Technology,Haifa,Haifa District,Israel
296,Temple University,Philadelphia,PA,United States
303,Ohio University,Athens,OH,United States
305,Tokyo Institute of Technology,Yokohama-shi,Kanagawa-ken,Japan
