pid,locid,majorarea,hindex,name
236,312.0,"neuro,math,computerscience",152.0,Michael I. Jordan
483,507.0,"neuro,math,computerscience",51.0,Steven W. Zucker
660,426.0,"neuro,math,computerscience,physics",31.0,Konrad P. Kording
897,315.0,"neuro,computerscience",86.0,Alan  Yuille
1446,454.0,"neuro,computerscience",137.0,Geoffrey E. Hinton
2003,312.0,"neuro,computerscience",121.0,Jitendra  Malik
3217,172.0,"etree,computerscience",83.0,Alan S. Willsky
16072,172.0,"math,computerscience,etree",101.0,William T. Freeman
17024,27.0,"neuro,computerscience",5.0,Madhu  Shashanka
20904,29.0,"neuro,computerscience",58.0,Jordan B. Pollack
21787,618.0,computerscience,13.0,Frederic Calland Williams
35335,355.0,computerscience,47.0,Bernard Phillip Zeigler
37668,228.0,"ling,neuro,computerscience",8.0,Oiwi  Parker Jones
42005,406.0,computerscience,28.0,Ravi  Janardan
47109,1535.0,"neuro,chemistry,phtree,computerscience",5.0,Stephen Kwok-Wing Tsui
68064,56.0,"evol,computerscience,robotics",54.0,Hod  Lipson
70959,29329.0,"chemistry,physics,computerscience,math",23.0,Jean-Philip  Piquemal
88612,54.0,"chemistry,computerscience",19.0,Sameer  Lal
91860,454.0,computerscience,7.0,Stephen Arthur Cook
91887,388.0,computerscience,36.0,Paris  Smaragdis
92279,419.0,computerscience,20.0,Tim  Weninger
92284,2777.0,computerscience,9.0,Diana  Inkpen
92290,20048.0,computerscience,13.0,Stephen Joseph Green
92516,20131.0,computerscience,11.0,Oana   Frunza
92520,57.0,computerscience,8.0,Aminul   Islam
93391,12990.0,computerscience,6.0,Craig W. Thompson
93626,689.0,computerscience,3.0,Mat  Kelly
93629,416.0,computerscience,34.0,Kevin  Jeffay
95341,8152.0,computerscience,33.0,Gudrun  Klinker
95342,340.0,computerscience,28.0,Andreas  Butz
95352,20539.0,computerscience,20.0,Christopher  Frauenberger
95355,437.0,computerscience,10.0,Alexander  Fraser
95358,2351.0,computerscience,26.0,Raphael  Wimmer
